ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
10024,200000,2,4,1,28,-2,-1,0,-1,-1,0,162441,110292,47364,209408,61701,203813,20999,45317,16814,35990,11725,26850
10025,250000,2,1,1,45,1,3,-1,0,-1,-1,264325,147348,19386,239837,128035,7597,90758,28031,6195,26993,46385,2571
10026,80000,2,3,2,41,1,-1,-1,0,-1,2,11126,33757,65836,4564,61430,75675,3179,2313,19526,1681,27918,34798
10027,80000,1,3,1,40,0,-1,-1,-1,-1,1,45723,43144,7984,72674,86340,28203,597,455,1467,2702,20774,7514
10028,50000,2,2,2,27,-1,-1,0,0,-2,0,27257,35921,44406,5811,10474,23679,5950,11826,16154,541,3883,107
10029,80000,1,3,1,36,0,0,2,5,-1,-1,97656,14330,47441,-4531,23243,92853,13840,2548,19559,0,11118,30034
10030,200000,2,4,1,44,0,-1,-1,5,-1,0,165562,76538,40743,104489,230227,55083,45116,3907,16489,48175,24854,20403
10031,30000,2,3,1,49,2,0,-1,-1,0,-1,2878,17504,32469,3660,14224,28092,327,4657,9826,1078,4273,12230
10032,100000,1,3,2,32,2,0,0,-1,1,-1,4750,88396,101754,22765,24407,14265,619,42172,27620,10275,6771,5440
10033,100000,2,2,2,40,-1,-2,0,0,-1,-1,91277,97644,42114,28295,15912,60795,3530,40340,3031,7205,2514,4088
10034,120000,1,2,2,44,-2,0,1,0,2,0,117521,70288,95994,105023,95711,60028,21869,24871,1814,19650,46198,28011
10035,100000,1,2,1,37,4,-1,-1,-1,0,-2,57521,83238,117157,50182,89462,-3114,17359,1842,11353,17425,42562,0
10036,80000,2,2,2,45,3,0,0,-2,-1,-2,4865,41565,652,56966,49167,95630,1619,2378,74,10532,15001,18489
10037,100000,1,3,2,21,0,-1,0,-1,1,-1,22737,33925,46818,97963,-344,87139,6288,4583,16448,306,0,10779
10038,360000,2,2,2,40,0,0,-1,0,0,-1,200842,278808,215715,154773,35229,228996,83602,2135,366,13362,10712,59918
10039,500000,2,2,1,35,-1,0,2,0,1,-1,132147,385336,147012,207193,333690,529762,43032,150880,51716,39687,144062,212251
10040,120000,2,1,1,42,0,0,0,-1,2,0,111153,96753,23405,133654,-2882,43999,12853,1760,1620,17980,0,6724
10041,200000,1,3,2,54,-1,0,3,0,-1,-1,127992,70775,153235,52043,109944,205300,21195,30768,12311,24301,41414,54754
10042,30000,2,1,2,41,-1,-1,1,0,1,0,7227,10519,16468,18398,38581,13083,2345,5071,217,4327,9443,570
10043,80000,1,4,1,21,-1,4,0,0,-1,2,35756,65129,39878,62031,23099,47692,11045,13739,16957,22302,7842,2122
10044,100000,2,5,2,26,-1,-1,-1,0,-2,0,53927,114579,59085,65715,28580,4333,1185,41352,628,1983,10436,2100
10045,300000,2,2,2,41,0,1,-1,-1,-1,-1,181867,78402,197255,189674,94618,310631,74485,32592,83135,42836,9216,57845
10046,50000,2,1,2,41,4,-1,4,0,-1,1,52526,40603,48282,7123,18804,30164,16569,15176,9775,1494,8533,6758
10047,120000,1,5,2,50,0,-2,-1,-1,0,-1,133814,16470,94633,47050,88238,57268,2690,5259,34150,1210,14231,18682
10048,1000000,1,2,2,43,-1,3,-1,0,2,-1,150485,256024,61444,606866,593702,1153078,21674,17789,14122,9810,20580,443509
10049,120000,2,2,2,26,-1,2,-1,-1,1,1,127803,5840,105821,95955,39378,81331,28193,581,39331,26258,2842,22510
10050,200000,2,3,1,55,0,4,-2,5,-1,2,203184,175670,43594,18262,234843,114337,25280,85373,20640,3628,46604,31041
10051,30000,2,3,2,32,0,-1,1,-1,0,2,16298,23648,19020,17601,27582,35680,1479,8051,1907,39,13049,14823
10052,300000,2,3,1,37,-1,0,-2,5,0,2,128996,97529,113826,92803,297749,202200,9455,6255,16295,11308,60223,58351
10053,200000,2,2,2,29,-1,-1,0,-1,-1,-1,233907,166513,30641,120520,69566,63861,83159,26857,3196,36788,33722,12036
10054,150000,1,2,2,41,0,0,0,-1,0,5,88658,99695,52830,151504,102831,37208,14592,46601,12181,34329,12413,15345
10055,80000,1,6,2,48,3,-1,-1,-1,-1,2,16406,36873,5720,14470,18491,35357,2493,1336,817,6844,5218,17595
10056,80000,1,3,1,48,0,2,0,1,-1,2,91053,34461,87264,62461,10558,61507,41800,850,19410,3673,2281,17173
10057,100000,2,2,2,35,-1,0,2,2,-1,3,105151,32559,57229,30510,48296,61682,19607,10796,27732,9022,11185,15469
10058,200000,1,2,1,35,0,0,0,1,0,0,80282,71257,68677,184091,57915,77133,28030,22357,18742,41865,10722,36913
10059,360000,2,3,1,41,-1,-1,-1,-1,-1,2,-4869,335266,80412,42551,36302,297238,0,153612,7831,2742,16170,100390
10060,120000,2,2,1,32,-1,3,-1,0,-1,0,96683,82379,2982,67762,77920,81196,25181,7254,744,28835,1097,38540
10061,200000,1,4,1,44,-1,-2,0,0,-1,0,128625,22178,90180,227265,115962,156595,22606,1072,11980,109588,8770,17760
10062,150000,2,3,1,47,-1,-1,0,-2,-1,3,-5008,36287,123372,65981,31080,69827,0,18065,61391,31294,14574,2570
10063,200000,1,4,2,38,0,0,0,1,0,0,193583,25423,167267,152921,44190,107728,75627,8031,38200,65561,15858,181
10064,200000,1,3,2,30,0,1,-1,-1,-1,-1,192364,117211,177270,56824,27767,70240,73289,35961,71935,6740,6601,13786
10065,300000,1,1,2,34,1,0,6,-1,0,-1,7448,221584,45613,351224,199199,235924,2509,73132,15324,88014,47480,77646
10066,30000,2,3,1,47,0,-1,-1,-1,0,-1,34964,19559,11638,14666,21783,23244,7824,190,1031,3176,3975,1356
10067,250000,2,3,2,61,0,2,3,-1,-1,-1,-452,276951,63970,83803,5677,64806,0,64547,10490,11059,867,21602
10068,50000,2,3,2,42,0,0,-1,0,0,-1,34893,-6170,55759,15754,23081,33370,13863,0,8087,7383,2379,11190
10069,50000,1,2,2,29,0,-1,2,0,-1,-1,12715,13636,49158,19217,8483,-4434,1142,6155,12550,84,1521,0
10070,150000,1,3,1,28,0,-1,-1,-1,1,-1,48634,139019,173514,18832,132705,41476,23756,59167,56326,3,65985,4343
10071,30000,2,2,3,35,-2,-1,0,0,-1,-1,32956,36171,11020,5129,2344,1645,9321,15529,3800,105,580,635
10072,360000,1,2,2,43,0,-1,0,-1,-1,-2,212225,402187,381131,120223,22358,370194,13688,91268,2088,12897,3328,91414
10073,200000,2,2,1,23,-2,-1,-1,-1,0,-1,35346,127245,189763,92071,138165,117259,5530,4103,6082,27298,62204,58138
10074,250000,1,2,2,36,0,0,-1,0,2,0,287354,280603,286478,96465,298144,124826,13799,81439,32585,9314,59333,58695
10075,10000,2,2,2,40,-1,-1,-1,0,-2,-1,8728,4515,3310,-5206,8128,-4332,2337,1374,373,0,1680,0
10076,150000,1,2,2,42,-1,0,1,0,-2,2,178521,15878,23278,29377,115403,148456,1767,84,1511,8485,36048,52244
10077,150000,2,3,2,35,0,0,1,-1,-1,2,116479,23326,99418,29535,113421,76778,48897,4386,49685,5409,44460,17295
10078,50000,2,2,2,22,1,0,2,1,0,0,20311,1900,19876,34873,45385,45066,2062,349,5247,4842,21747,2771
10079,50000,2,4,1,48,-2,-1,-1,4,-1,0,19847,56389,53739,18616,34714,30585,226,7418,23712,6564,13503,8778
10080,200000,1,1,1,48,-1,-1,4,2,-1,-1,207251,166120,31000,67835,104476,186974,80411,70989,1972,26255,43272,56903
10081,80000,1,2,2,36,0,2,4,-1,-1,1,13478,65414,55419,63752,20433,17235,1449,6398,23363,18742,1241,2441
10082,200000,1,3,2,31,-1,2,0,0,-1,0,125795,10073,37800,188577,154356,215453,15855,354,5734,46814,58439,75766
10083,150000,1,3,3,33,-1,0,3,0,-1,-2,85200,47534,146360,44685,60466,157489,28299,16197,36617,13395,2058,15419
10084,100000,2,2,1,32,0,-1,0,-1,0,0,47682,59488,2700,93890,97468,90058,18613,1698,245,1338,28632,30822
10085,500000,2,6,1,36,0,0,0,0,-1,-1,97461,115706,170211,606408,567917,383939,35783,5934,23352,16354,129839,171013
10086,300000,2,1,2,38,0,-1,0,5,3,-1,192639,121599,298003,118636,271949,334830,34546,31986,33391,50214,8976,129159
10087,80000,1,2,2,23,0,0,0,-1,0,-1,85848,78204,44858,102622,77626,77821,40376,28593,11201,24097,17075,9806
10088,20000,1,2,2,21,1,0,1,3,0,1,-1356,20412,20408,26308,27758,9718,0,9560,7286,8248,12692,489
10089,80000,2,3,2,32,0,2,2,0,0,-1,104304,44938,68907,11864,53139,17968,1590,2097,25886,671,13925,7495
10090,100000,1,3,1,36,2,4,-1,-1,2,0,55938,43119,78857,9861,1732,90599,24148,17258,38709,4927,170,23633
10091,200000,2,3,1,22,-1,1,2,-1,-1,2,76074,13842,166147,207491,44327,229274,8578,1335,50816,28166,18659,7306
10092,1000000,2,2,2,37,0,-1,3,0,0,0,693989,498664,552123,436286,840580,623611,144495,14421,103970,49027,350678,307733
10093,80000,1,3,2,44,-1,1,-2,0,0,0,68222,69586,8035,35235,60520,705,14759,25624,88,13212,28827,339
10094,250000,1,2,1,30,-1,0,0,-1,0,-1,57038,237983,187809,273748,279317,229911,22579,69660,75197,84473,30189,6490
10095,150000,1,2,2,43,0,0,-1,-1,0,1,80476,81551,80647,99072,33130,135589,28600,32928,36066,29730,9877,65532
10096,200000,2,1,2,27,0,-1,2,0,1,0,228657,56270,92065,79916,112264,211884,102200,10359,37680,5166,26280,27442
10097,50000,2,2,2,39,2,-1,-1,0,2,2,40931,11957,57906,5429,24080,47086,16511,1690,20156,801,5172,18749
10098,100000,1,3,2,25,-1,0,2,-1,5,1,99742,65133,64475,18362,59779,112813,39218,17288,24776,2762,17722,22738
10099,50000,2,1,2,33,0,5,-1,0,0,0,-5002,15588,12369,14796,44434,53497,0,3475,1657,5022,21376,16099
10100,80000,2,2,1,23,-1,0,0,-1,0,2,63779,24822,77225,48417,25362,35031,6750,10856,24533,10979,8962,2316
10101,120000,2,3,2,34,2,-1,0,0,5,-2,1436,16537,132908,104234,120403,127258,573,3451,17520,14654,24489,52453
10102,200000,1,2,2,40,0,2,0,-1,0,0,98951,188203,97169,175640,14975,88383,14906,23814,2749,22226,3335,23495
10103,30000,2,1,2,47,0,0,1,3,1,3,-541,28489,35574,20194,3642,27558,0,10257,13738,4870,1305,7915
10104,30000,1,3,1,27,-2,1,0,0,-1,-1,6301,3433,23600,30488,4599,12957,1497,372,4587,8392,1883,5784
10105,80000,2,2,2,31,5,-1,-1,3,1,0,6139,6029,8895,19035,7181,69251,1229,91,314,1229,73,8528
10106,200000,2,2,2,21,0,2,0,-1,0,0,236267,139006,6769,74506,152452,3052,38385,5171,2351,9211,31142,607
10107,300000,2,2,2,40,-1,0,3,-1,0,-1,39963,100313,68687,9405,152575,154996,18373,10209,21171,4474,44782,52211
10108,150000,1,3,2,26,0,-1,2,1,6,0,104525,50326,16625,164258,168097,88994,9308,13197,1126,44622,14477,41561
10109,300000,1,4,1,27,0,0,1,4,-1,-1,140518,200076,88562,349930,63181,133697,16171,41782,19123,137215,18208,36145
10110,100000,1,2,2,33,-1,-1,-2,-1,0,-1,83439,92172,112071,80653,34693,113090,24172,33863,13016,22535,7971,9847
10111,80000,2,3,2,45,-2,2,0,0,-1,-1,23808,37142,44514,61961,21828,5635,6453,6296,20909,2864,6995,1790
10112,80000,2,3,2,26,3,-1,1,-2,3,-1,18328,80133,6843,23911,94194,39009,7590,33512,712,182,28681,10733
10113,50000,2,1,1,45,1,2,4,0,-1,0,24577,52504,35488,22575,45281,28191,8805,11527,15110,1592,12013,6949
10114,300000,2,3,1,41,1,0,-1,-1,1,0,109229,220049,87771,130573,180912,244894,11985,69124,4942,57803,69086,92316
10115,80000,1,2,1,35,0,1,1,0,0,1,79888,25919,18563,59283,27712,92921,38518,8834,6976,29197,13433,31406
10116,150000,2,3,2,43,1,-1,-1,-2,-1,-1,112055,41740,114260,162211,110471,3063,15615,11059,24210,11150,7293,515
10117,150000,2,2,1,34,-1,0,-2,-1,-1,-2,41003,34242,67572,71939,173804,118871,13493,12172,17520,20196,7146,30996
10118,150000,1,2,1,24,-1,-2,0,-1,1,1,39520,123385,48708,108273,136503,146101,9485,5660,13139,47679,42537,31959
10119,10000,2,2,2,35,3,-2,2,3,0,0,4312,939,6776,5156,12356,16860,1285,243,1298,90,4204,5410
10120,1000000,2,2,2,33,2,-1,-1,2,-1,5,277909,1123956,282900,15829,167959,763310,43689,434913,54788,7524,12813,128280
10121,360000,2,4,2,24,1,1,0,0,1,-1,159062,360519,404725,53808,11082,423644,72745,111432,151136,3743,1071,29034
10122,50000,2,2,1,44,0,0,-2,-1,-1,-1,15321,47003,8473,43253,57340,48854,2760,11942,3071,19775,25307,1857
10123,80000,2,6,2,27,-1,-1,-1,0,0,0,24666,65400,48477,15887,4320,87103,4161,2293,10827,1433,744,38601
10124,150000,1,2,2,21,0,0,1,0,1,1,70601,7003,22672,165059,123846,127704,14937,2937,1035,51861,8879,34617
10125,360000,1,3,2,26,0,0,3,-1,0,-1,355937,193233,169652,144650,38747,63608,153218,40612,34423,37156,17444,4534
10126,1000000,1,5,2,38,0,0,-1,-1,-2,-2,680707,1089307,257308,185969,814089,951822,61209,259681,78629,16594,34281,471810
10127,50000,2,3,2,45,-1,2,-1,0,-1,-1,58571,50114,18965,37075,31512,12585,2963,6908,4996,5473,5805,1847
10128,150000,1,3,1,37,-1,0,0,1,2,-1,75262,97919,90573,126163,59366,86473,3097,35557,36309,48647,23310,444
10129,300000,1,3,1,36,-1,0,-1,0,0,2,135389,212363,127992,235582,15478,317007,26232,43136,5498,40580,6048,60064
10130,100000,2,2,2,55,0,0,0,2,1,-1,102702,13990,113524,50612,4215,40220,2178,1278,41258,23161,1112,10779
10131,250000,1,2,1,26,0,-1,-1,0,0,-1,224978,252229,223193,268874,277599,212564,81560,74746,74255,32529,21644,26671
10132,50000,2,2,2,30,-1,0,3,0,-1,0,14022,32905,56611,23781,37890,8743,5568,14965,24513,5849,8899,1968
10133,200000,2,3,2,32,0,0,-1,2,0,2,218339,13317,179566,154462,166751,7958,97204,3397,25636,7473,64831,1804
10134,300000,2,4,1,24,0,-1,-1,-1,-1,-1,304809,149136,282377,107137,309349,38875,732,39122,5392,23651,89375,18862
10135,1000000,2,3,1,29,0,-1,-1,0,0,0,71934,342348,701052,942880,638748,610042,18427,13966,94667,166436,191530,284201
10136,30000,1,6,1,51,2,-2,-1,-1,-1,1,26049,27870,3836,18462,6398,3282,3351,11364,1465,8241,389,144
10137,100000,2,6,2,33,1,-1,5,-1,-1,0,12087,94234,39611,51749,69157,100551,4887,21047,13175,5418,5561,35527
10138,50000,1,2,2,38,2,1,0,-1,0,2,52195,-4476,44592,-547,33951,54153,10095,0,12394,0,2879,9941
10139,120000,1,2,2,25,2,-1,-1,0,0,-2,51421,-1847,29254,55082,12749,84858,13696,0,4965,1201,3133,25552
10140,150000,2,3,2,33,1,-1,0,0,1,-1,24217,141232,149325,181302,133383,124744,5879,28198,4674,38790,2471,30630
10141,30000,2,3,1,45,-1,0,-1,-1,-2,-1,23183,8999,5040,28948,22268,9123,11220,2729,1156,10136,1777,1121
10142,80000,2,3,2,30,-2,0,0,-1,1,0,37198,41425,1489,24259,38658,43374,16463,17306,13,1290,16238,12316
10143,500000,1,3,1,51,-1,-1,-1,0,-2,-1,103285,244607,522996,130564,581845,477563,22556,119736,141847,36773,18387,103533
10144,150000,2,3,2,38,-1,1,-1,0,1,-1,88860,164004,83869,74847,118713,13971,10685,9247,14939,2821,45301,3330
10145,120000,2,3,2,48,-2,0,-1,1,0,2,44902,112272,131248,127110,58609,23196,15269,8589,59588,2401,26059,11019
10146,250000,2,4,2,43,0,-1,1,-1,0,-1,248286,171911,127740,152339,163696,225497,190,82199,17010,60074,73304,13182
10147,250000,1,3,3,41,-1,1,-1,-1,-1,-2,219386,242800,128936,135417,-2216,279453,2451,17443,21152,51133,0,105082
10148,20000,1,3,2,39,-1,0,-1,-1,-1,0,10539,-819,6308,-1304,3837,12231,4894,0,570,0,369,5954
10149,200000,2,2,1,38,2,2,0,-2,1,-1,93530,20741,244066,169047,79176,203536,43583,5791,116317,14326,37149,89526
10150,300000,2,3,2,46,-1,3,-1,-1,-1,2,210155,168646,-3,233565,146033,141343,66159,66548,0,93485,18043,48697
10151,50000,2,4,1,29,0,0,-1,-1,0,1,7207,41200,46570,13930,42334,47046,45,5251,10014,5316,18462,11056
10152,250000,1,2,2,39,2,-1,0,0,-1,0,142692,19931,15031,14809,73317,246399,46124,546,3254,7119,35900,113755
10153,80000,2,2,2,22,0,0,-1,-1,-1,2,15049,63041,51886,40723,22226,82176,211,6803,14119,14399,5121,776
10154,80000,2,2,2,49,2,0,5,0,2,2,72545,77331,22062,46030,2434,66212,20900,19135,363,12759,889,12264
10155,200000,2,1,2,42,2,0,1,2,-1,0,89109,51641,164487,156090,216939,134195,14789,20919,80185,63881,47858,61118
10156,30000,2,2,2,39,-1,2,0,0,4,-1,30056,14625,5213,2216,3802,7672,6090,2753,855,153,977,2307
10157,200000,2,2,1,30,0,-1,-1,-1,-1,0,146,127405,174603,205537,200493,43945,72,54425,66910,84576,59027,21267
10158,360000,2,2,1,34,4,-1,-2,7,0,1,404240,383710,241095,51589,387767,340116,197767,147882,67982,24959,180121,115384
10159,200000,2,3,1,39,-1,-2,0,0,-1,-2,70213,198483,38530,218408,48564,188806,12046,48068,13344,94273,15358,24552
10160,100000,1,3,2,21,-1,0,7,2,0,-1,-9407,98751,17162,107762,114930,32988,0,1448,5964,27318,52859,5980
10161,100000,1,3,2,39,0,2,1,1,0,-1,73399,100697,32831,7619,101752,109573,32543,34448,14102,1966,36239,4945
10162,250000,2,3,2,31,-2,0,2,-1,-1,-2,98697,295489,184822,8502,6243,259305,45176,34174,62521,3760,1863,30561
10163,150000,2,2,2,47,-1,4,0,-1,0,-1,71672,121729,168810,82803,145300,162375,23848,37095,4070,29471,44285,65825
10164,30000,2,1,1,42,-1,-1,-1,-1,-1,0,17985,9120,1032,7372,22072,13468,5758,1232,21,1807,2739,3302
10165,150000,1,5,2,41,-1,-1,-1,2,3,-1,95043,62021,125787,126203,71366,113466,43251,20260,20383,31804,6343,7011
10166,300000,2,6,2,45,-1,0,-1,-1,-1,0,17664,126260,22736,283267,20018,304190,6086,26819,856,13959,7461,54976
10167,80000,1,3,2,42,4,2,-1,2,-1,-1,2788,43721,49135,4649,35475,33190,136,2122,21900,2111,8803,13601
10168,500000,1,3,2,55,0,-1,3,3,-1,1,108916,548815,578146,438166,416075,170064,22252,262583,270059,114761,154964,4276
10169,250000,1,3,1,39,0,-2,-1,-1,-1,0,57806,262161,24086,262117,47980,64320,592,108287,5910,72525,22414,1640
10170,150000,1,3,2,48,-1,-1,-2,3,1,6,52692,130710,88878,182604,127237,145989,15162,29948,29728,342,51129,32119
10171,250000,2,2,1,49,1,0,0,-1,0,-1,271164,266068,11344,207754,17660,166733,10686,17665,3506,4185,3474,24612
10172,30000,1,3,2,34,4,0,1,0,-1,-1,12694,30207,27105,21450,15813,6514,2011,13375,9611,3446,961,1277
10173,300000,2,3,1,44,0,0,1,2,2,-1,34896,260028,349480,299570,272265,350144,4030,75713,1230,145105,110653,43260
10174,300000,2,1,2,40,0,1,2,-1,0,0,106183,26161,236683,268669,90855,13869,39623,12197,111988,4243,12155,5010
10175,360000,2,3,2,33,-1,-1,0,0,0,-1,303649,190572,29316,81316,151339,230887,49133,31952,1969,22015,64729,8955
10176,30000,2,2,2,44,0,1,-1,0,-1,-1,39581,26724,23415,4977,3645,16844,2326,3403,1851,129,4,3355
10177,30000,2,3,2,41,0,0,4,-1,3,0,14866,20788,27014,21045,17538,27629,1219,8774,5384,5013,6451,11946
10178,30000,1,2,2,59,0,-1,-1,-1,-1,1,14860,-4010,32341,5653,30645,32614,6271,0,3031,785,3821,1192
10179,100000,1,3,2,42,0,-1,0,-1,0,-1,23258,113637,63647,116881,6503,78512,9338,47183,24206,44561,2474,3619
10180,100000,2,3,2,43,-1,0,0,1,2,1,23120,81963,30383,51260,41571,47796,1078,6240,3481,15653,11053,6367
10181,150000,2,1,1,47,0,0,-2,-1,-1,1,21355,157897,111322,177062,132268,58952,805,7267,25211,7049,23962,22967
10182,30000,2,1,2,39,0,0,-1,-2,0,2,3415,28760,39875,37821,41364,34729,696,8063,4668,17582,18266,6750
10183,50000,1,6,2,37,2,-1,2,-1,-1,0,20011,10904,47822,60907,18632,30029,8482,3549,23274,9894,5863,12406
10184,300000,2,3,2,36,-1,-1,1,-1,0,-1,254554,274927,172399,332440,299319,136099,8832,57189,44229,49499,26609,27102
10185,120000,2,2,2,22,-1,3,-2,0,1,1,12970,132786,106142,67591,72430,82970,4614,62460,37498,5524,18024,16118
10186,300000,2,2,2,32,2,0,1,0,1,-1,15481,52705,311896,111978,72957,197759,4614,6318,137932,25438,34394,31948
10187,10000,2,2,2,50,-1,0,0,0,-1,-2,3866,-3812,6126,3261,6440,11151,255,0,1790,234,2635,3974
10188,150000,1,4,2,41,2,0,0,8,-1,-1,118134,122602,7651,17030,161696,29492,53009,15100,512,4659,21691,8390
10189,500000,2,3,2,33,0,2,1,-1,-1,0,326468,521684,192663,177505,95686,424077,24589,251672,91961,66844,21806,206886
10190,150000,2,6,1,47,1,5,2,0,-1,0,133745,76931,100401,84773,60335,80823,9915,3021,12578,15765,15577,23231
10191,50000,2,3,1,48,1,-1,1,-1,3,2,-9869,19054,53584,26144,39507,30112,0,4205,4362,905,17433,5516
10192,200000,1,2,3,37,-1,2,2,0,-1,-2,28796,74932,132704,107809,201673,162752,6535,7165,61169,4014,91756,53640
10193,100000,2,2,2,57,0,-1,2,0,1,-1,9035,86948,10173,45665,103333,108499,3852,20375,378,5864,760,35125
10194,200000,2,2,2,37,-1,-1,-1,-1,-1,-1,49016,56355,83541,67690,30286,36733,3845,16772,21040,8205,8784,9364
10195,20000,2,3,2,33,1,0,3,0,2,-2,16402,14296,-5075,14933,19004,26284,6152,693,0,7197,5264,11160
10196,200000,2,2,2,37,2,1,0,-1,0,-1,145380,150400,156852,198335,176779,145610,38435,24205,63118,37293,53969,54816
10197,20000,2,2,2,37,0,0,2,0,3,-1,10728,8615,17936,10720,17457,17761,1137,3143,6654,721,2674,8351
10198,250000,2,2,2,40,0,-1,3,-1,0,-1,126909,304766,176593,45430,270388,211492,33604,135906,38699,12084,90383,40924
10199,120000,2,3,1,35,0,-2,0,0,1,-1,126821,17869,119205,108322,13097,19627,3473,8614,8101,10852,4713,5996
10200,30000,1,2,1,44,2,-1,-1,0,4,1,4764,19192,30237,40370,23377,23924,1602,7808,13444,2256,11131,4944
10201,150000,1,2,1,25,-1,-1,-1,7,0,1,44088,20453,71804,174662,169432,41685,16558,6574,13276,60083,15596,10476
10202,20000,2,2,3,36,-1,8,0,-1,4,-1,-4154,22364,8980,18072,27502,2353,0,10584,3428,6073,12116,247
10203,200000,1,3,2,33,1,0,-1,-1,-2,2,192934,71928,177303,27054,70466,45086,1196,34072,56791,11554,26441,6181
10204,1000000,1,3,2,39,-1,0,-1,-1,-1,-1,142910,666849,82424,223324,624806,491323,38772,314019,1524,2772,108987,205174
10205,250000,1,3,1,21,2,-1,1,0,8,-1,135028,201267,259427,43291,53015,233931,63144,90591,35177,9731,1187,51772
10206,150000,2,2,2,39,-1,1,-1,4,0,0,59337,161388,61041,129311,83087,74181,22044,19317,20881,22338,30620,13028
10207,30000,1,3,2,36,0,-2,7,0,-1,1,22204,23122,7899,16964,22014,26768,2263,6960,3434,7629,4391,12527
10208,200000,2,2,1,21,1,0,-2,4,0,1,169409,157085,69628,218828,49129,24226,25039,33721,9041,101623,11738,2653
10209,200000,1,2,1,38,-1,-1,0,7,-1,0,11895,118039,212013,215990,199321,212988,4297,28264,73904,49038,15371,53217
10210,20000,2,1,2,35,-1,0,-1,3,-1,0,11575,17729,12110,15385,10541,4278,4705,3846,3570,2202,3697,199
10211,250000,1,2,2,47,-1,-1,0,0,-1,-2,48381,138652,272203,162323,187589,118027,2796,68397,18016,57840,18,45682
10212,120000,1,2,2,37,-1,2,-1,0,-1,-2,121543,57398,90446,135303,114634,38971,4713,27202,25684,10014,181,14369
