ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYMENT_NEXT_MONTH
61,100000,1,2,2,40,3,-1,1,1,1,-1,65710,103688,115614,1274,48043,39083,28949,34757,15335,41,21479,16619,1
62,80000,1,3,1,44,2,0,-2,0,0,-1,16278,60971,11971,97877,74058,50551,1849,27716,4379,29308,28568,1276,1
63,300000,2,3,2,32,-2,-1,0,-1,0,4,355206,31960,170139,351828,194616,144601,13604,15191,5984,2346,46523,67703,0
64,80000,1,3,1,42,-1,0,-1,-1,-1,-1,7525,43313,91527,17968,18056,56486,2731,8380,38980,909,5314,8375,0
65,80000,1,4,2,31,-1,2,-1,0,0,0,85033,69697,31601,93197,4582,65796,26342,852,4904,26196,1706,14234,0
66,150000,2,2,1,34,0,-1,-1,1,-1,-1,76356,19432,176552,172702,12945,152159,36260,3872,291,82297,1019,31043,1
67,30000,2,2,1,50,0,-1,-1,1,-1,-1,35338,8522,14492,23816,2341,27823,15845,3212,903,11434,14,6043,1
68,300000,2,3,1,32,-1,1,2,0,-1,0,77370,249397,132999,20384,296880,329899,11745,114050,24507,3029,9226,23123,0
69,30000,2,2,2,31,2,0,-2,0,-1,-1,20537,33055,17240,39735,1138,21691,8578,10952,8162,4375,313,1452,1
70,1000000,2,3,3,21,1,0,0,0,0,-1,715003,757995,108835,245337,82196,757571,173302,37890,5563,33270,5335,34772,1
71,250000,2,2,1,41,0,1,4,-1,0,0,146025,261684,106996,279992,111090,15532,52489,1200,14450,70770,3982,4365,1
72,50000,2,2,1,28,0,2,0,5,0,-1,11051,38683,13019,61496,23891,12174,196,5201,1560,23831,107,5618,1
73,10000,2,2,1,36,0,0,1,-1,0,0,15700,10142,466,-1514,19301,7342,4162,1322,54,0,3900,2676,1
74,300000,1,3,2,32,0,-2,2,0,0,-1,66204,9421,349830,58914,207395,133242,11195,1079,16741,19683,87911,38703,0
75,200000,2,3,2,30,2,0,0,-1,0,0,60139,85527,84820,141465,73807,203907,22659,37736,18646,39795,28276,49671,1
76,250000,1,2,1,33,-1,0,0,-1,0,0,133678,28065,73289,100447,106748,66405,6829,10182,18763,25545,42505,7749,0
77,250000,1,2,2,34,0,-1,-2,0,4,0,253969,118797,247884,235191,103056,40286,96973,3365,42038,95922,17381,15623,1
78,30000,2,2,1,45,-1,-1,0,0,0,-1,375,9364,8917,540,7253,25645,140,4555,2793,149,2156,6103,0
79,80000,1,3,1,48,0,-1,0,-1,0,3,96136,21010,72042,91083,17041,52214,20759,3899,17041,15867,3681,6953,1
80,30000,2,2,1,40,0,-2,0,0,-1,0,14103,16625,23879,36301,30898,33896,3812,8196,2918,17586,8617,14986,0
81,300000,2,3,2,46,-2,0,0,-1,0,-1,36713,98479,101665,205089,355743,211385,8195,44656,17089,51149,105472,83232,1
82,200000,2,2,2,42,-1,-1,2,4,0,4,52917,139071,155419,74827,24662,62942,8782,40069,76780,36264,4897,10213,1
83,80000,2,2,2,39,-1,0,2,0,-1,0,6979,62007,29130,51767,59237,69601,3141,30428,7,15149,17157,30369,1
84,20000,2,3,1,48,-1,-1,-1,-2,0,0,14546,4329,17448,8205,-6507,6824,5921,2087,1637,3073,0,52,0
85,80000,1,1,2,23,0,6,0,-1,0,-1,5017,26447,34073,82286,26763,30316,759,1628,5079,26997,11128,14037,1
86,80000,2,2,1,28,7,0,3,-1,0,0,65425,48407,42838,13117,60299,4962,4714,3769,11870,3933,225,1719,1
87,250000,2,2,2,27,-1,-2,0,-1,1,0,39336,93537,200480,178562,90434,290236,19312,10190,13721,48347,25060,74590,0
88,200000,2,1,2,32,-1,1,1,0,0,2,55955,234015,151772,-1620,62003,80316,8886,111532,18012,0,19589,23001,1
89,360000,2,2,2,41,0,0,-1,-1,2,4,8032,350832,12359,205939,57321,391949,3987,131473,4380,82229,27842,181247,1
90,120000,1,2,1,24,-1,0,-1,0,0,5,37865,128791,59678,6518,132117,93199,11251,53043,9309,2894,6204,43899,1
91,30000,1,3,2,39,-2,3,-1,-1,-1,0,2451,1858,-1282,20578,12265,20838,536,273,0,2092,4151,7938,1
92,200000,1,3,2,29,0,0,-2,0,0,-1,20635,86634,76777,48803,41980,44441,5507,22776,7947,10242,7892,17762,0
93,250000,1,3,1,31,2,1,2,0,0,0,288900,251062,267649,150324,70233,234996,66220,87637,46497,9234,12456,53804,0
94,150000,2,2,2,36,2,-1,-1,0,0,-1,19645,31949,3251,108213,152010,91876,7189,4988,1625,39788,29262,35916,0
95,250000,2,3,2,50,-1,0,-1,4,1,0,227011,228016,82620,164009,8770,107360,64731,92982,20607,19741,3650,34084,1
96,120000,1,3,2,28,-1,-1,1,-1,2,-1,94363,118092,82903,99455,16106,41063,34767,51487,40751,36553,6075,19229,1
97,150000,2,2,2,34,0,2,0,-1,-1,0,56147,54970,59042,155328,141916,70093,4386,14033,29115,8850,29983,10809,1
98,100000,2,3,1,25,-1,-1,-1,8,-1,0,103759,108965,71895,72887,89102,89874,23314,25620,12584,23062,5930,39104,1
99,20000,1,4,2,28,0,-1,2,-1,0,2,6609,19818,8706,15393,18005,10272,18,3213,4058,3039,2540,736,0
100,30000,1,2,2,25,0,3,1,1,-1,1,14175,10452,8833,14121,3042,35573,5624,257,2980,1602,1014,12825,1
101,20000,2,4,1,37,-2,-1,4,-1,2,-2,15956,13410,18205,8805,13338,8255,5177,3236,2574,1945,3037,3236,0
102,200000,2,1,1,38,-1,-1,0,0,1,-1,175529,50725,42546,138280,73157,93058,15357,658,252,11902,16626,34033,0
103,80000,2,2,1,41,2,0,0,0,0,2,12981,48624,71729,74323,9972,64467,5005,1135,35398,26538,1688,6187,1
104,120000,1,2,1,28,0,5,-1,1,2,0,48729,68322,90959,65988,97538,20505,889,21468,26036,12556,35546,1561,1
105,360000,2,3,2,39,1,0,-1,0,2,-1,285910,295149,377264,31274,339877,72019,97307,40923,47000,12110,46993,12830,0
106,50000,1,2,1,36,0,-1,-1,-1,2,0,8088,35123,24049,23939,27114,26883,2911,14153,8118,10562,13351,10645,0
107,100000,1,3,1,34,0,0,0,0,0,0,82916,45583,86144,33231,59190,96573,1089,1740,3868,12586,763,20004,1
108,250000,2,3,1,23,-1,0,-1,-1,-1,1,87739,160929,210178,15567,233789,134470,19613,78391,4908,3192,27207,8422,0
109,50000,1,3,2,36,0,6,2,-1,-2,1,20731,11165,15083,32862,27715,5459,4873,2437,7500,2010,10356,62,1
110,30000,1,2,1,36,1,0,0,-1,-1,0,1721,17613,17783,181,18759,28036,415,7568,2825,69,3887,5425,0
111,80000,1,4,1,35,-1,0,-1,-1,1,0,34290,96795,66630,37496,87255,85324,6883,10505,406,2554,39227,11065,0
112,50000,1,3,1,38,-1,0,-1,0,-1,0,36500,29983,34448,15864,45718,7196,4508,6718,10398,5672,9086,1117,0
113,500000,2,2,2,41,0,0,0,6,-1,-1,349661,516375,105601,167647,576152,178363,68307,237385,23621,78373,113982,73848,0
114,300000,2,3,1,25,0,0,1,0,0,0,157811,314524,299423,177921,159348,294503,47321,10858,42989,56655,14957,79414,0
115,200000,1,3,2,33,0,-1,1,0,-1,0,187503,233124,45480,221056,31213,96282,87046,5572,4324,74259,3842,20019,1
116,360000,1,3,1,39,0,-1,0,1,5,4,370908,32720,78220,167770,197834,345416,116879,8923,1186,38795,68905,56941,1
117,300000,1,2,1,32,0,-1,-1,2,1,0,30735,233301,263667,52333,289637,329479,4630,18845,15462,6330,143125,162174,0
118,50000,2,2,1,43,0,0,1,-1,0,-1,34467,55177,16335,19595,54173,12020,10758,18403,3170,4141,2727,2196,0
119,360000,1,1,1,35,0,-1,1,0,2,2,303290,346959,104978,390709,100932,179614,555,87752,49885,145026,42227,77218,0
120,150000,2,2,1,21,-2,-1,1,-1,0,-1,68118,76836,121011,84951,18197,114751,4162,23137,2239,33019,8291,10549,0
121,300000,1,3,1,42,-1,2,-1,0,2,0,17010,92045,25144,329138,119419,217195,1756,43559,1795,82873,27372,4179,0
122,360000,1,5,1,33,0,-2,0,-1,1,-1,188468,152234,97286,14023,74875,380612,85632,73316,40595,1125,26990,66677,1
123,80000,2,5,2,21,0,3,4,-1,-2,0,76633,8960,34755,11388,81312,20591,16344,3379,15810,3742,40639,3275,1
124,30000,2,3,1,32,1,2,-1,-1,1,0,15203,3081,14775,8841,4878,10712,3750,349,1405,2772,1714,2337,1
125,50000,1,3,2,23,0,0,0,4,1,0,24351,45986,31866,41346,38465,18999,5778,14609,2165,1300,705,3892,1
126,100000,2,2,2,41,0,-2,-1,-2,-1,-1,92781,25812,581,11832,52016,53627,18416,4885,10,4389,5961,10145,0
127,300000,2,3,2,34,-1,-1,-1,0,0,0,307582,300478,142716,311296,310517,178947,100527,122700,16495,15678,142895,20290,1
128,300000,2,1,1,26,0,4,0,2,-1,0,331336,83146,241511,230328,291845,5795,55527,32265,102058,95196,98593,86,1
129,10000,2,2,2,42,-2,2,2,-1,0,-2,16984,15758,11220,7259,-3344,3341,4808,1389,2735,2306,0,1202,1
130,120000,2,3,1,39,0,4,-2,0,0,-1,85190,48306,115117,4169,87201,3244,29327,9098,10266,1978,25821,1095,1
131,100000,2,2,1,32,-1,7,5,-1,5,2,43663,28095,55411,61814,32354,46474,954,147,787,26834,14646,857,0
132,50000,1,1,1,23,-1,-1,1,0,0,1,27983,40310,17992,1037,12006,44170,2819,7331,7636,319,4885,9321,0
133,30000,2,3,2,27,0,0,-1,3,0,-1,2506,27087,21260,23762,17869,30569,1052,1607,8403,2254,6676,11891,1
134,80000,2,2,1,27,-2,1,-1,-2,-1,4,33667,39772,20416,92608,14826,3253,4,19355,688,32779,1731,1170,1
135,500000,1,1,2,41,0,-1,0,-1,1,0,433614,212335,545356,136078,67809,37901,31226,51882,211811,5797,13244,13836,0
136,80000,1,1,1,21,0,0,2,-1,-1,1,64939,65100,20438,90063,16996,46977,8797,5544,7537,1541,51,18517,1
137,120000,1,2,2,34,1,-1,-2,0,3,0,1154,103128,54682,5605,21008,120979,282,34408,26971,1361,7121,27338,0
138,200000,2,2,2,32,-1,-2,0,1,-1,1,133027,14430,2744,587,66867,204319,60885,6522,120,162,26071,25525,0
139,80000,2,3,2,44,-2,-1,-1,4,-1,0,348,15766,6556,29236,68184,10210,91,5454,825,14223,5353,2682,1
140,800000,2,2,2,37,1,-2,-1,-1,0,-1,354225,569207,694633,199391,53867,502978,126696,143708,211678,14520,19579,112468,0
141,800000,1,3,2,39,-1,0,0,-2,2,2,960438,572503,780565,526271,68010,134389,473501,203053,106079,211274,22876,66063,1
142,50000,2,2,2,30,2,0,-1,-1,-1,1,25883,16115,9474,20221,27076,44356,7816,1174,370,4311,803,1725,0
143,120000,2,2,1,23,-1,-1,-2,4,-2,-1,131204,4857,47100,124916,14973,138369,22598,2057,14320,10372,4473,26370,1
144,80000,1,3,1,32,0,1,-1,-1,4,-1,-493,99881,15915,15750,36906,32553,0,17800,5135,4494,5644,4931,1
145,80000,2,3,2,41,-1,2,-1,-1,-1,0,72309,7663,25301,69646,69399,94071,15149,2328,11108,15990,10567,27796,1
146,20000,2,3,1,41,0,-1,1,0,0,0,3167,24488,7513,14549,13026,16712,1127,3899,656,4148,4018,5211,0
147,200000,2,4,2,31,2,-1,0,-1,-1,-1,133897,85756,190214,43699,100380,41600,37188,39523,29528,2895,23994,1116,1
148,120000,2,2,1,27,0,-1,0,-1,-1,2,138331,126913,18714,51580,106842,44113,49641,19538,5116,1772,50415,17068,1
149,20000,2,2,2,25,0,0,-1,-1,-1,0,14175,12922,19494,11437,16278,6765,4681,3113,9054,124,252,1934,1
150,80000,1,3,1,33,-1,0,-1,4,0,5,86929,11442,32013,90510,18547,24008,43083,895,8509,20198,827,7841,1
151,360000,2,1,1,36,2,0,1,-1,1,0,395035,395441,210887,167515,18661,226480,191115,12764,68849,22277,9329,105785,1
152,50000,1,1,1,48,0,-1,-1,-1,-1,-1,20948,42507,21501,39394,22758,50487,3779,13470,9921,2947,9365,11356,1
153,30000,1,2,2,36,-1,-1,-1,0,-1,2,11253,20234,22197,10176,21271,27207,2895,8926,4788,1320,4562,7021,1
154,120000,1,3,1,40,-2,3,-1,-2,3,1,112733,87678,98036,70102,25639,118149,42405,23292,33681,32218,3694,24669,1
155,1000000,2,2,2,27,-2,-1,-1,0,0,-2,1121809,398552,330880,384914,693014,304105,456048,68931,7811,181933,327613,6380,1
156,50000,2,2,2,35,-1,0,0,0,1,0,31147,5871,40204,-3212,37265,37826,1707,399,2240,0,8408,4593,0
157,200000,1,2,2,36,2,-1,-1,-1,-1,-2,212824,12542,36410,186465,179365,-747,75091,156,6936,68231,9894,0,1
158,250000,1,3,1,33,-1,-1,0,0,-1,-1,64677,163313,271232,67746,25557,292800,23261,37849,109267,26270,271,54682,0
159,50000,2,2,1,34,-1,0,0,8,-1,2,49633,7813,56156,-310,41887,34718,2282,1392,22822,0,6870,10403,1
160,250000,2,2,2,36,0,0,2,1,0,0,211100,102886,290046,192409,124651,97047,59925,4317,8045,55026,33172,34632,0
161,80000,2,3,1,39,0,-1,-1,4,-1,2,51578,22629,59407,45574,78998,89742,20183,2981,3575,17554,6655,23345,0
162,200000,2,4,2,45,-1,-1,-1,2,0,0,73790,90054,107694,163071,119489,16825,19644,19252,19361,58310,49215,6141,1
163,200000,2,3,2,21,-1,0,-1,1,0,1,65483,37616,227346,60953,115391,-654,29386,8410,23685,10540,19214,0,0
164,150000,1,3,1,45,-1,-1,0,-1,0,0,124983,137670,5108,111920,130520,117807,53477,30801,371,52213,20589,8828,1
165,30000,2,2,2,21,0,0,-1,0,-1,0,13212,23464,13097,14564,8890,-1460,3148,11003,375,2699,3762,0,0
166,300000,1,2,2,37,-1,3,-1,-1,0,0,300360,287682,300291,92374,47325,306467,69841,120897,78619,39715,7886,109850,0
167,80000,2,2,2,56,2,0,-1,0,-1,-1,82828,43990,53465,32894,82635,50943,5047,1454,26387,9779,12030,8522,0
168,50000,1,3,2,34,0,-1,1,2,-1,0,8125,43080,50627,46660,9996,-2391,1274,9582,3986,4486,2032,0,0
169,20000,2,2,2,36,0,1,-1,-1,-2,2,2129,-11,28403,16970,11814,19687,307,0,4484,6698,2534,4561,1
170,150000,2,3,1,32,2,0,1,-1,0,-1,170053,98936,51172,148385,68524,135011,82475,26622,1822,16531,22470,29094,1
171,200000,2,6,2,41,0,2,-1,3,0,-1,84251,228837,35264,104141,92987,10237,13052,22430,11813,4588,31166,3646,0
172,10000,1,1,2,38,0,0,0,0,0,2,8413,2262,13247,10408,9861,4356,1186,660,1937,2730,2809,352,1
173,120000,2,1,2,28,-1,0,4,-1,1,-1,72222,87511,38945,126956,44070,58474,15071,36015,17353,33100,9884,23355,0
174,50000,1,2,1,33,0,0,3,-1,8,2,37473,8698,43106,46629,21832,17319,2280,264,3149,20635,5403,8323,1
175,200000,1,2,1,24,-1,-1,0,0,0,0,164106,67222,107778,30420,167157,147476,33911,29803,16191,3020,61549,60765,0
176,50000,1,2,1,33,0,-1,-1,1,-1,1,26366,57791,19077,51720,18576,53284,2443,991,2524,19960,1880,19380,0
177,200000,2,3,1,31,0,0,2,1,0,-1,91996,11297,36719,205843,131681,170428,9160,5648,1927,82547,58764,76958,1
178,100000,2,1,2,36,0,0,-1,0,-1,1,99447,83115,69080,14653,18508,1719,38243,38984,27386,1566,6841,162,0
179,500000,2,2,2,28,1,0,2,-1,-1,-2,368705,527044,186505,169811,328003,338025,49512,84718,65904,41506,11642,86254,0
180,30000,2,2,2,33,0,0,0,1,-1,-1,27970,23156,7298,23427,3215,17395,11540,5114,1834,3466,824,3702,1
181,80000,2,4,1,35,-1,-1,3,3,0,-1,75999,-2930,66317,86032,79554,76639,29441,0,16157,42029,19378,29254,0
182,30000,2,3,2,35,0,-1,0,0,0,0,6579,25444,31944,19141,16993,16287,2979,7141,6921,2456,6332,1088,1
183,500000,1,4,1,37,3,-1,7,-1,0,1,480518,236429,207958,96537,508141,290540,118580,104976,98306,9630,101336,13728,1
184,360000,1,5,1,33,0,1,0,0,0,-1,390484,324889,168634,55334,301908,94833,173725,4766,64901,11785,131772,5641,0
185,50000,2,2,2,27,-1,-1,-1,-1,-1,1,21176,6318,27328,2028,5640,20592,3579,652,12939,441,591,3378,0
186,200000,2,2,1,35,4,-1,-1,0,0,0,111694,146816,102960,84346,107855,163250,44331,62652,4902,1806,34077,64596,1
187,300000,2,2,1,33,-1,-1,-1,-1,1,1,125309,139610,190587,2654,299385,362070,50761,30654,12210,577,72973,38814,0
188,150000,2,2,1,44,5,0,0,0,0,0,28683,-3808,4169,143077,79294,174710,9371,0,1087,40328,14489,83327,1
189,150000,1,3,2,45,-1,0,2,0,-1,-1,97870,108632,145337,90074,59998,63135,12949,43171,38067,29235,18978,29406,1
190,50000,1,1,2,22,8,-1,0,0,3,0,32576,29847,42058,-4989,11370,19992,15917,13664,1785,0,4515,3424,1
191,30000,2,1,1,40,-1,0,0,1,-1,1,35487,35830,15535,9992,37368,24311,9507,12171,1699,4456,3765,1210,1
192,360000,1,3,1,42,0,0,-1,-1,0,-2,203117,398847,-7068,351066,421383,287801,60086,157779,0,51133,121487,74997,0
193,360000,1,3,2,22,0,1,5,-1,-2,-1,407774,314739,114502,293143,102652,90089,173969,52717,34706,8111,14188,18908,1
194,200000,2,3,2,40,0,-1,-1,0,2,0,179393,94731,71845,202468,198795,28303,40980,4256,20695,88198,68611,9623,1
195,80000,1,2,2,43,1,0,-1,4,0,-1,22521,6142,65448,17699,69591,405,10921,1388,18283,7270,10460,116,1
196,80000,2,3,2,26,0,-2,1,2,-1,-1,43552,75035,18050,15615,79948,44370,19259,8919,7523,6568,14938,8703,0
197,250000,2,2,2,32,-1,0,1,-1,0,1,190799,118786,31103,148988,79695,26813,75840,33202,11384,404,8775,9798,1
198,360000,2,2,2,36,-1,0,-1,-1,-1,-1,60090,130731,313914,140683,403422,408777,1038,17608,69788,18648,163926,23169,0
199,360000,1,3,2,40,0,0,0,0,-1,-1,219988,150157,200851,358081,374601,158087,71508,66535,78295,70963,79447,10325,0
200,250000,1,5,2,26,0,-1,0,0,0,-1,255481,21600,234891,139668,163012,15076,46782,8715,86804,15262,10457,2004,0
201,200000,2,1,2,45,-1,1,-1,2,0,0,37014,45060,51323,32496,62100,52619,4753,20151,4057,12704,27857,20752,1
202,30000,1,2,1,21,-1,-1,1,0,-1,-1,6277,30338,-2773,-1606,19747,18756,1634,14732,0,0,2993,8735,0
203,50000,1,2,2,46,0,2,1,1,0,1,23679,14053,13220,9428,55367,3800,5231,1833,3914,3096,12729,382,0
204,360000,1,2,2,39,0,1,0,0,0,0,383009,23298,174844,24470,218884,41727,57149,2007,83125,2712,14326,14024,1
205,200000,1,3,2,29,2,0,0,-1,-2,0,162964,70294,114035,26884,163162,180361,26631,26853,6907,5397,17778,17785,1
206,10000,1,2,1,42,-1,1,-1,2,0,-1,1939,9106,869,-2259,10210,982,171,1653,224,0,4743,57,0
207,30000,2,3,2,25,2,-1,0,-1,0,0,5389,34808,29757,5965,42721,31384,1669,14420,11725,480,7774,12810,1
208,200000,1,3,2,36,2,5,2,-1,0,-1,176839,173559,145946,76789,174966,164709,25062,15873,50314,34693,36028,18618,1
209,10000,1,3,1,37,-2,2,0,1,2,0,11066,-3216,-529,-348,4949,11976,641,0,0,0,1237,5496,0
210,50000,2,2,2,37,0,0,0,4,-1,0,63723,52977,26904,32017,41080,9731,10947,25346,5369,15249,13688,142,0
